iter	Logloss
0	0.5897057482
1	0.5286517743
2	0.4800903133
3	0.4218266589
4	0.3926054047
5	0.3481725778
6	0.3126883963
7	0.2843543631
8	0.266846666
9	0.2410885093
10	0.2255863948
11	0.2143363163
12	0.2055878742
13	0.1942964751
14	0.1807869412
15	0.1738351275
16	0.1610126485
17	0.1507562321
18	0.1440112473
19	0.1366730652
20	0.127748735
21	0.1218474794
22	0.1127604141
23	0.1059072606
24	0.1006810856
25	0.09741503317
26	0.09178020405
27	0.08693559528
28	0.08446749488
29	0.08002705528
30	0.07700602153
31	0.07247392089
32	0.06993436339
33	0.06755749368
34	0.06540386216
35	0.06487528721
36	0.06328212883
37	0.062086124
38	0.0605265049
39	0.05721258959
40	0.05512899386
41	0.05320724143
42	0.05218371523
43	0.04951422654
44	0.04755295896
45	0.04642737593
46	0.04531676272
47	0.04415308091
48	0.04174031014
49	0.0406465058
50	0.03982400379
51	0.03768946401
52	0.03624155655
53	0.03517775404
54	0.03378881092
55	0.03270905297
56	0.03183878805
57	0.03086895855
58	0.03029400825
59	0.02929380894
60	0.02885915563
61	0.02802056857
62	0.02696234108
63	0.02671188483
64	0.02581539559
65	0.02507381402
66	0.02432437091
67	0.02359397201
68	0.0229932542
69	0.0217366393
70	0.02099758198
71	0.02048425151
72	0.01994710465
73	0.01938430051
74	0.01893710503
75	0.01847003566
76	0.01785455541
77	0.01732183771
78	0.01704520108
79	0.01678401302
80	0.01647482645
81	0.01617635741
82	0.01589543049
83	0.01547418564
84	0.0150144934
85	0.01469486613
86	0.01457253944
87	0.01415115022
88	0.01401899177
89	0.01372400367
90	0.0134771291
91	0.01323481812
92	0.01292431875
93	0.01258895181
94	0.01229363097
95	0.01195240206
96	0.01168135768
97	0.01145167114
98	0.01112205729
99	0.0109288154
100	0.01063725798
101	0.01046167006
102	0.01026537621
103	0.01013326107
104	0.009934188425
105	0.009852627812
106	0.009764473882
107	0.009642128049
108	0.009563695397
109	0.009352182443
110	0.009209016548
111	0.009117177695
112	0.008883729662
113	0.008817937736
114	0.008683015465
115	0.008624558615
116	0.008423306441
117	0.00830887015
118	0.008255997313
119	0.008144570578
120	0.00801762009
121	0.00794940075
122	0.007854028964
123	0.007756943125
124	0.007674230233
125	0.007588043887
126	0.007496590717
127	0.007411302209
128	0.007316833343
129	0.007238914396
130	0.007165645742
131	0.007127127762
132	0.007030994134
133	0.006963563525
134	0.006900253502
135	0.006856250907
136	0.006789836792
137	0.006706927488
138	0.006625800331
139	0.006587765586
140	0.006557609294
141	0.006511460981
142	0.006452944251
143	0.006422426838
144	0.006352900144
145	0.006252238958
146	0.006177437407
147	0.006099592706
148	0.006056797425
149	0.006015487722
150	0.005957014134
151	0.005869664989
152	0.005820370916
153	0.005785305602
154	0.005750003191
155	0.005692282017
156	0.005641757204
157	0.005544566778
158	0.00551366257
159	0.005462295987
160	0.005415825113
161	0.005370800619
162	0.005288536821
163	0.005212250554
164	0.005166963307
165	0.005145819391
166	0.005105478398
167	0.005041507119
168	0.004998064943
169	0.004973793274
170	0.00492740704
171	0.00489355531
172	0.004837333043
173	0.004812528886
174	0.004762448562
175	0.0047271298
176	0.004716254169
177	0.004680584625
178	0.004631224258
179	0.004577880294
180	0.004537644179
181	0.004477978219
182	0.004426967459
183	0.004388546311
184	0.004362789314
185	0.00432533494
186	0.00430844592
187	0.004272957446
188	0.004245198649
189	0.004225689232
190	0.00418685495
191	0.004164955934
192	0.004156780524
193	0.004121228365
194	0.00407943188
195	0.004056226113
196	0.004028976688
197	0.00399201251
198	0.00396389884
199	0.003924332674
200	0.003898148732
201	0.00387428126
202	0.003859251568
203	0.003837865703
204	0.003815628001
205	0.003793551571
